ID,Year,State,Crop_Type,Rainfall (mm),Soil_Type,Irrigation_Area (ha),Crop_Yield (kg/ha)
2170,2013,Punjab,Rice,971,Loamy,122,3075
2171,2009,Punjab,Bajra,333,Loamy,57,2151
2172,2015,Punjab,Rice,948,Alluvial,110,2833
2173,2016,Punjab,Rice,850,Loamy,110,2854
2174,2019,Punjab,Rice,861,Loamy,170,2912
2175,2020,Punjab,Rice,823,Alluvial,159,2774
2176,2009,Punjab,Bajra,424,Alluvial,87,2051
2177,2010,Punjab,Rice,917,Loamy,128,3480
2178,2009,Punjab,Bajra,362,Loamy,71,2895
2179,2006,Punjab,Wheat,463,Loamy,163,3218
2180,2004,Punjab,Bajra,439,Loamy,95,2945
2181,2007,Punjab,Rice,883,Alluvial,161,2818
2182,2015,Punjab,Wheat,485,Loamy,154,3015
2183,2002,Punjab,Wheat,608,Loamy,170,3904
2184,2020,Punjab,Bajra,459,Alluvial,76,2305
2185,2016,Punjab,Rice,916,Loamy,142,3377
2186,2014,Punjab,Bajra,488,Loamy,92,2755
2187,2016,Punjab,Bajra,367,Loamy,94,2039
2188,2004,Punjab,Wheat,453,Loamy,146,3590
2189,2018,Punjab,Wheat,502,Alluvial,170,2908
2190,2020,Punjab,Bajra,523,Alluvial,90,2326
2191,2011,Punjab,Bajra,455,Loamy,50,2020
2192,2008,Punjab,Wheat,675,Alluvial,165,2976
2193,2010,Punjab,Rice,867,Loamy,174,2960
2194,2001,Punjab,Bajra,446,Loamy,79,2317
2195,2009,Punjab,Rice,829,Loamy,170,3057
2196,2001,Punjab,Rice,953,Loamy,125,3341
2197,2007,Punjab,Rice,964,Alluvial,131,2647
2198,2008,Punjab,Rice,872,Alluvial,170,2782
2199,2003,Punjab,Bajra,367,Loamy,92,2819
2200,2020,Punjab,Bajra,511,Alluvial,86,1813
2201,2007,Punjab,Rice,826,Alluvial,152,3050
2202,2018,Punjab,Rice,808,Loamy,162,3279
2203,2014,Punjab,Wheat,440,Alluvial,156,3074
2204,2020,Punjab,Rice,862,Loamy,171,3405
2205,2020,Punjab,Rice,855,Loamy,172,2979
2206,2001,Punjab,Rice,893,Loamy,101,2978
2207,2013,Punjab,Wheat,572,Loamy,122,3370
2208,2017,Punjab,Bajra,308,Loamy,79,2010
2209,2015,Punjab,Wheat,565,Alluvial,177,2986
2210,2018,Punjab,Rice,910,Loamy,160,3076
2211,2005,Punjab,Wheat,462,Loamy,124,3488
2212,2002,Punjab,Rice,921,Loamy,163,3379
2213,2017,Punjab,Wheat,559,Alluvial,109,2942
2214,2004,Punjab,Rice,864,Loamy,100,3026
2215,2016,Punjab,Wheat,656,Loamy,135,3514
2216,2019,Punjab,Bajra,375,Loamy,79,2455
2217,2019,Punjab,Bajra,444,Loamy,96,2970
2218,2016,Punjab,Rice,935,Loamy,122,3248
2219,2011,Punjab,Bajra,363,Loamy,60,2405
2220,2001,Punjab,Bajra,514,Loamy,65,2580
2221,2005,Punjab,Rice,833,Loamy,143,3048
2222,2007,Punjab,Rice,839,Loamy,166,3282
2223,2004,Punjab,Wheat,577,Loamy,154,3989
2224,2006,Punjab,Bajra,408,Alluvial,75,2255
2225,2017,Punjab,Rice,976,Loamy,170,2977
2226,2004,Punjab,Wheat,437,Alluvial,144,3444
2227,2012,Punjab,Bajra,596,Loamy,77,2102
2228,2017,Punjab,Wheat,682,Loamy,140,3705
2229,2013,Punjab,Wheat,675,Loamy,162,3002
2230,2008,Punjab,Wheat,434,Loamy,135,3680
2231,2002,Punjab,Wheat,601,Alluvial,103,3277
2232,2020,Punjab,Wheat,684,Loamy,156,3719
2233,2009,Punjab,Wheat,548,Loamy,133,3174
2234,2006,Punjab,Rice,802,Loamy,170,3005
2235,2018,Punjab,Rice,893,Loamy,105,2887
2236,2011,Punjab,Rice,800,Alluvial,150,2815
2237,2014,Punjab,Wheat,635,Alluvial,168,2917
2238,2009,Punjab,Bajra,338,Loamy,68,2145
2239,2004,Punjab,Rice,989,Loamy,173,3123
2240,2015,Punjab,Bajra,413,Loamy,74,2910
2241,2007,Punjab,Wheat,625,Loamy,126,3730
2242,2019,Punjab,Bajra,368,Loamy,64,2055
2243,2011,Punjab,Rice,868,Alluvial,155,3116
2244,2016,Punjab,Wheat,402,Loamy,139,3413
2245,2008,Punjab,Wheat,567,Loamy,175,3249
2246,2005,Punjab,Bajra,600,Loamy,90,2133
2247,2010,Punjab,Wheat,637,Alluvial,171,3380
2248,2005,Punjab,Wheat,424,Loamy,163,3603
2249,2016,Punjab,Rice,850,Loamy,157,3314
2250,2002,Punjab,Rice,933,Loamy,133,3281
2251,2003,Punjab,Wheat,551,Alluvial,153,3047
2252,2019,Punjab,Bajra,496,Loamy,83,2930
2253,2020,Punjab,Wheat,673,Loamy,166,3349
2254,2019,Punjab,Wheat,648,Loamy,128,3711
2255,2018,Punjab,Wheat,645,Alluvial,168,3213
2256,2006,Punjab,Bajra,339,Loamy,64,2736
2257,2014,Punjab,Rice,891,Loamy,126,3027
2258,2020,Punjab,Rice,905,Loamy,122,2994
2259,2000,Punjab,Bajra,389,Loamy,56,2341
2260,2015,Punjab,Rice,922,Alluvial,139,2844
2261,2018,Punjab,Rice,846,Loamy,139,2875
2262,2013,Punjab,Rice,951,Loamy,149,2920
2263,2012,Punjab,Rice,827,Loamy,115,2886
2264,2012,Punjab,Rice,976,Loamy,104,3472
2265,2020,Punjab,Wheat,474,Loamy,159,3286
2266,2009,Punjab,Wheat,435,Alluvial,148,3178
2267,2006,Punjab,Wheat,439,Loamy,175,3839
2268,2003,Punjab,Wheat,556,Alluvial,173,2934
2269,2002,Punjab,Bajra,440,Loamy,85,2464
2270,2002,Punjab,Bajra,326,Loamy,85,2862
2271,2007,Punjab,Rice,809,Loamy,154,3242
2272,2013,Punjab,Wheat,593,Loamy,175,3704
2273,2015,Punjab,Rice,873,Loamy,170,2851
2274,2001,Punjab,Wheat,610,Loamy,121,3810
2275,2004,Punjab,Rice,860,Loamy,161,3475
2276,2007,Punjab,Wheat,517,Loamy,174,3799
2277,2010,Punjab,Wheat,660,Loamy,123,3246
2278,2011,Punjab,Rice,884,Loamy,140,3019
2279,2003,Punjab,Rice,836,Loamy,171,3116
2280,2009,Punjab,Wheat,592,Loamy,141,3443
2281,2007,Punjab,Bajra,470,Loamy,63,2248
2282,2018,Punjab,Rice,806,Loamy,162,2891
2283,2003,Punjab,Rice,815,Loamy,141,3483
2284,2008,Punjab,Wheat,441,Loamy,136,3159
2285,2020,Punjab,Wheat,672,Alluvial,131,2823
2286,2007,Punjab,Rice,959,Alluvial,140,2923
2287,2011,Punjab,Rice,937,Alluvial,158,3038
2288,2011,Punjab,Bajra,328,Alluvial,78,2678
2289,2019,Punjab,Bajra,514,Alluvial,79,2041
2290,2000,Punjab,Wheat,657,Alluvial,125,3047
2291,2015,Punjab,Bajra,561,Loamy,60,2304
2292,2019,Punjab,Wheat,615,Loamy,148,3632
2293,2007,Punjab,Wheat,523,Loamy,173,3755
2294,2010,Punjab,Wheat,663,Loamy,167,3767
2295,2003,Punjab,Rice,950,Loamy,140,3018
2296,2009,Punjab,Rice,895,Loamy,104,3379
2297,2014,Punjab,Rice,821,Alluvial,134,2862
2298,2011,Punjab,Wheat,637,Loamy,128,3185
2299,2013,Punjab,Wheat,599,Loamy,146,3525
2300,2001,Punjab,Wheat,451,Alluvial,133,2984
2301,2019,Punjab,Wheat,421,Loamy,150,3328
2302,2013,Punjab,Rice,827,Loamy,127,3450
2303,2018,Punjab,Bajra,552,Alluvial,68,2310
2304,2017,Punjab,Wheat,409,Alluvial,142,3358
2305,2006,Punjab,Bajra,466,Loamy,59,2425
2306,2016,Punjab,Wheat,613,Loamy,167,3996
2307,2003,Punjab,Rice,804,Loamy,113,2874
2308,2013,Punjab,Rice,969,Loamy,127,3169
2309,2005,Punjab,Rice,952,Loamy,164,3495
2310,2011,Punjab,Wheat,505,Loamy,149,3805
2311,2020,Punjab,Rice,997,Loamy,175,3136
2312,2012,Punjab,Rice,825,Alluvial,172,2990
2313,2016,Punjab,Wheat,587,Loamy,109,3456
2314,2009,Punjab,Wheat,630,Loamy,160,3526
2315,2001,Punjab,Bajra,521,Loamy,93,2991
2316,2002,Punjab,Bajra,496,Loamy,59,2062
2317,2015,Punjab,Rice,990,Loamy,102,2990
2318,2004,Punjab,Rice,817,Loamy,122,3100
2319,2014,Punjab,Wheat,461,Alluvial,166,2726
2320,2007,Punjab,Rice,899,Loamy,129,3312
2321,2011,Punjab,Bajra,328,Loamy,87,2198
2322,2008,Punjab,Wheat,610,Loamy,116,3232
2323,2012,Punjab,Rice,913,Alluvial,175,2538
2324,2010,Punjab,Bajra,595,Loamy,90,2520
2325,2003,Punjab,Rice,995,Loamy,124,3383
2326,2014,Punjab,Wheat,544,Loamy,154,3660
2327,2003,Punjab,Rice,988,Loamy,132,2901
2328,2005,Punjab,Bajra,346,Loamy,78,2440
2329,2020,Punjab,Wheat,693,Loamy,124,3701
2330,2015,Punjab,Rice,877,Loamy,135,3332
2331,2006,Punjab,Bajra,460,Loamy,58,2969
2332,2008,Punjab,Rice,840,Loamy,137,2957
2333,2000,Punjab,Wheat,485,Alluvial,138,3287
2334,2010,Punjab,Bajra,593,Alluvial,63,2009
2335,2019,Punjab,Bajra,432,Loamy,83,2172
2336,2013,Punjab,Bajra,303,Loamy,73,2588
2337,2000,Punjab,Wheat,534,Loamy,143,3340
2338,2014,Punjab,Wheat,512,Loamy,160,3070
2339,2014,Punjab,Rice,874,Loamy,161,3012
2340,2003,Punjab,Wheat,444,Loamy,155,3024
2341,2008,Punjab,Bajra,423,Loamy,94,2777
2342,2005,Punjab,Rice,887,Loamy,124,3180
2343,2007,Punjab,Wheat,438,Loamy,164,3786
2344,2006,Punjab,Wheat,524,Loamy,124,3991
2345,2019,Punjab,Bajra,331,Loamy,61,2303
2346,2007,Punjab,Wheat,454,Alluvial,129,3041
2347,2003,Punjab,Bajra,404,Alluvial,98,2420
2348,2020,Punjab,Bajra,512,Loamy,85,2214
2349,2000,Punjab,Rice,915,Alluvial,116,2637
2350,2016,Punjab,Rice,838,Loamy,116,3413
2351,2005,Punjab,Rice,836,Loamy,160,3233
2352,2020,Punjab,Bajra,420,Loamy,89,2152
2353,2015,Punjab,Wheat,615,Loamy,166,3703
2354,2006,Punjab,Wheat,561,Loamy,100,3520
2355,2009,Punjab,Wheat,604,Loamy,162,3194
2356,2016,Punjab,Wheat,610,Loamy,147,3940
2357,2005,Punjab,Bajra,544,Loamy,50,2989
2358,2011,Punjab,Rice,999,Loamy,122,3365
2359,2015,Punjab,Rice,945,Loamy,124,2949
2360,2011,Punjab,Wheat,514,Loamy,128,3920
2361,2005,Punjab,Bajra,438,Loamy,50,2092
2362,2003,Punjab,Bajra,327,Loamy,73,2552
2363,2013,Punjab,Bajra,343,Loamy,61,2198
2364,2011,Punjab,Wheat,414,Loamy,157,3977
2365,2016,Punjab,Wheat,641,Loamy,128,3934
2366,2002,Punjab,Wheat,691,Loamy,160,3625
2367,2012,Punjab,Wheat,591,Loamy,136,3341
2368,2015,Punjab,Bajra,532,Loamy,54,2100
2369,2012,Punjab,Rice,843,Loamy,169,3189
2370,2012,Punjab,Rice,968,Alluvial,132,2791
2371,2015,Punjab,Wheat,600,Loamy,178,3117
2372,2003,Punjab,Wheat,683,Loamy,118,3131
2373,2019,Punjab,Wheat,478,Loamy,124,3103
2374,2017,Punjab,Bajra,485,Alluvial,93,2129
2375,2007,Punjab,Rice,894,Loamy,106,2830
2376,2000,Punjab,Bajra,429,Alluvial,86,2317
2377,2007,Punjab,Bajra,567,Loamy,94,2460
2378,2020,Punjab,Rice,946,Loamy,141,3015
2379,2001,Punjab,Rice,873,Loamy,114,3425
2380,2010,Punjab,Wheat,420,Loamy,161,3448
2381,2011,Punjab,Rice,801,Loamy,162,3175
2382,2011,Punjab,Rice,836,Loamy,151,3051
2383,2011,Punjab,Rice,940,Loamy,105,3154
2384,2006,Punjab,Rice,930,Loamy,176,3173
2385,2010,Punjab,Bajra,598,Alluvial,58,2491
2386,2007,Punjab,Rice,946,Loamy,149,3211
2387,2019,Punjab,Wheat,441,Loamy,114,3206
2388,2019,Punjab,Bajra,534,Loamy,59,2145
2389,2006,Punjab,Wheat,567,Loamy,107,3735
2390,2018,Punjab,Bajra,529,Loamy,50,2041
2391,2012,Punjab,Bajra,378,Alluvial,91,2626
2392,2016,Punjab,Rice,981,Loamy,109,3141
2393,2018,Punjab,Bajra,556,Loamy,68,2609
2394,2018,Punjab,Bajra,443,Alluvial,73,2645
2395,2006,Punjab,Wheat,524,Loamy,148,3561
2396,2000,Punjab,Wheat,455,Loamy,131,3119
2397,2002,Punjab,Wheat,414,Loamy,103,3499
2398,2013,Punjab,Bajra,414,Loamy,74,2844
2399,2016,Punjab,Bajra,324,Loamy,94,2999
2400,2005,Punjab,Rice,904,Loamy,108,3442
2401,2008,Punjab,Rice,835,Loamy,140,3053
2402,2010,Punjab,Wheat,471,Alluvial,173,3329
2403,2011,Punjab,Bajra,500,Loamy,63,2445
2404,2004,Punjab,Rice,836,Loamy,102,3038
2405,2013,Punjab,Rice,911,Loamy,105,2855
2406,2004,Punjab,Wheat,573,Alluvial,159,3050
2407,2014,Punjab,Rice,895,Loamy,173,3197
2408,2006,Punjab,Wheat,640,Loamy,149,3575
2409,2007,Punjab,Rice,801,Alluvial,167,2983
2410,2009,Punjab,Bajra,492,Loamy,91,2285
2411,2009,Punjab,Bajra,415,Loamy,88,2328
2412,2008,Punjab,Rice,914,Alluvial,111,2557
2413,2020,Punjab,Rice,848,Loamy,146,2847
2414,2020,Punjab,Rice,854,Loamy,101,3258
2415,2019,Punjab,Rice,967,Loamy,157,3477
2416,2011,Punjab,Rice,819,Loamy,158,3180
2417,2003,Punjab,Wheat,687,Loamy,152,3075
2418,2003,Punjab,Rice,967,Loamy,117,3202
2419,2010,Punjab,Bajra,374,Loamy,76,2640
2420,2006,Punjab,Bajra,480,Loamy,84,2385
2421,2015,Punjab,Wheat,448,Loamy,132,3989
2422,2019,Punjab,Rice,966,Loamy,149,3347
2423,2020,Punjab,Bajra,596,Loamy,86,2897
2424,2000,Punjab,Rice,880,Loamy,170,3051
2425,2005,Punjab,Bajra,496,Loamy,100,2810
2426,2007,Punjab,Bajra,361,Loamy,60,2090
2427,2014,Punjab,Wheat,609,Loamy,167,3784
2428,2004,Punjab,Wheat,588,Alluvial,129,2895
2429,2005,Punjab,Rice,908,Loamy,132,3287
2430,2000,Punjab,Wheat,700,Alluvial,155,3244
2431,2010,Punjab,Rice,884,Loamy,158,3406
2432,2013,Punjab,Rice,813,Alluvial,179,2713
2433,2010,Punjab,Wheat,545,Loamy,115,3214
2434,2008,Punjab,Wheat,627,Loamy,172,3582
2435,2010,Punjab,Bajra,380,Loamy,53,2148
2436,2018,Punjab,Wheat,548,Loamy,131,3517
2437,2009,Punjab,Wheat,505,Loamy,103,3556
2438,2001,Punjab,Rice,838,Loamy,137,3262
2439,2008,Punjab,Rice,873,Alluvial,114,2622
2440,2015,Punjab,Bajra,428,Loamy,88,2925
2441,2002,Punjab,Bajra,591,Loamy,89,2829
2442,2019,Punjab,Wheat,700,Loamy,178,3931
2443,2014,Punjab,Rice,900,Loamy,110,3330
2444,2016,Punjab,Wheat,607,Alluvial,132,3285
2445,2019,Punjab,Wheat,400,Loamy,165,3153
2446,2005,Punjab,Bajra,472,Loamy,62,2614
2447,2004,Punjab,Wheat,688,Loamy,163,3596
2448,2010,Punjab,Bajra,491,Alluvial,95,2557
2449,2017,Punjab,Bajra,408,Alluvial,61,2587
2450,2013,Punjab,Rice,818,Alluvial,135,2773
2451,2006,Punjab,Bajra,469,Loamy,61,2182
2452,2012,Punjab,Wheat,659,Loamy,172,3586
2453,2003,Punjab,Rice,863,Alluvial,169,2782
2454,2008,Punjab,Wheat,617,Loamy,101,3967
2455,2002,Punjab,Rice,860,Loamy,170,2915
2456,2018,Punjab,Bajra,589,Alluvial,100,2329
2457,2016,Punjab,Bajra,357,Loamy,69,2255
2458,2004,Punjab,Rice,899,Loamy,171,2810
2459,2014,Punjab,Rice,843,Loamy,149,3075
2460,2013,Punjab,Rice,965,Loamy,153,3113
2461,2014,Punjab,Rice,979,Loamy,128,3071
2462,2017,Punjab,Wheat,666,Loamy,167,3926
2463,2014,Punjab,Wheat,615,Alluvial,110,3372
2464,2013,Punjab,Wheat,562,Alluvial,159,2879
2465,2005,Punjab,Wheat,659,Loamy,176,3115
2466,2013,Punjab,Rice,974,Loamy,138,3061
2467,2020,Punjab,Wheat,641,Alluvial,160,2832
2468,2005,Punjab,Wheat,636,Loamy,110,3498
2469,2020,Punjab,Bajra,482,Loamy,81,2658
2470,2018,Punjab,Bajra,493,Loamy,79,2216
2471,2013,Punjab,Wheat,603,Alluvial,167,3470
2472,2017,Punjab,Bajra,399,Loamy,66,2262
2473,2008,Punjab,Bajra,311,Loamy,58,2985
2474,2009,Punjab,Rice,992,Alluvial,108,2522
2475,2002,Punjab,Wheat,535,Loamy,127,3102
2476,2012,Punjab,Wheat,524,Loamy,150,3923
2477,2017,Punjab,Rice,835,Loamy,165,3030
2478,2010,Punjab,Bajra,567,Loamy,80,2715
2479,2009,Punjab,Wheat,672,Loamy,172,3977
2480,2017,Punjab,Bajra,431,Alluvial,77,2265
2481,2019,Punjab,Bajra,572,Loamy,85,2822
2482,2012,Punjab,Rice,858,Loamy,170,3011
2483,2015,Punjab,Bajra,461,Loamy,91,2481
2484,2020,Punjab,Bajra,348,Loamy,63,2849
2485,2011,Punjab,Bajra,477,Loamy,82,2605
2486,2020,Punjab,Rice,848,Loamy,125,2914
2487,2004,Punjab,Rice,862,Loamy,151,3228
2488,2007,Punjab,Bajra,372,Loamy,81,2723
2489,2019,Punjab,Rice,894,Loamy,112,2900
2490,2006,Punjab,Wheat,540,Loamy,169,3073
2491,2017,Punjab,Wheat,433,Alluvial,104,3180
2492,2019,Punjab,Wheat,524,Loamy,140,3944
2493,2003,Punjab,Bajra,334,Loamy,72,2411
2494,2019,Punjab,Wheat,659,Loamy,149,3947
2495,2017,Punjab,Wheat,697,Loamy,141,3890
2496,2016,Punjab,Rice,872,Loamy,176,3299
2497,2013,Punjab,Rice,853,Loamy,123,3110
2498,2018,Punjab,Bajra,565,Alluvial,71,2439
2499,2012,Punjab,Wheat,517,Loamy,177,3073
2500,2016,Punjab,Bajra,372,Alluvial,90,2349
2501,2013,Punjab,Rice,968,Alluvial,162,3194
2502,2005,Punjab,Rice,985,Loamy,110,3013
2503,2002,Punjab,Wheat,655,Loamy,163,3213
2504,2003,Punjab,Wheat,564,Loamy,104,3353
2505,2000,Punjab,Rice,858,Loamy,149,3381
2506,2010,Punjab,Bajra,421,Alluvial,79,2171
2507,2005,Punjab,Rice,981,Loamy,177,3065
2508,2011,Punjab,Rice,1000,Loamy,126,3444
2509,2008,Punjab,Bajra,467,Alluvial,94,2210
2510,2004,Punjab,Rice,929,Alluvial,119,2797
2511,2009,Punjab,Rice,939,Alluvial,104,2558
2512,2018,Punjab,Rice,809,Loamy,117,3425
2513,2000,Punjab,Rice,981,Loamy,118,3448
2514,2004,Punjab,Bajra,598,Alluvial,61,2302
2515,2015,Punjab,Wheat,402,Loamy,177,3839
2516,2004,Punjab,Wheat,575,Alluvial,121,2736
2517,2007,Punjab,Bajra,325,Loamy,88,2535
2518,2007,Punjab,Rice,843,Loamy,169,2890
2519,2019,Punjab,Bajra,379,Loamy,51,2230
2520,2012,Punjab,Bajra,368,Alluvial,79,2089
2521,2017,Punjab,Bajra,329,Loamy,66,2864
2522,2017,Punjab,Bajra,535,Loamy,51,2762
2523,2019,Punjab,Bajra,581,Alluvial,93,1855
2524,2009,Punjab,Wheat,481,Loamy,152,3129
2525,2015,Punjab,Bajra,328,Loamy,87,2716
2526,2016,Punjab,Wheat,516,Loamy,154,3032
2527,2005,Punjab,Rice,863,Loamy,108,2951
2528,2000,Punjab,Bajra,460,Loamy,97,2695
2529,2000,Punjab,Wheat,681,Loamy,176,3569
2530,2005,Punjab,Bajra,412,Alluvial,81,2175
2531,2016,Punjab,Bajra,571,Alluvial,96,2275
2532,2001,Punjab,Wheat,539,Loamy,103,3247
2533,2013,Punjab,Bajra,526,Alluvial,91,2693
2534,2003,Punjab,Rice,953,Loamy,160,3334
2535,2004,Punjab,Bajra,412,Loamy,70,2760
2536,2017,Punjab,Wheat,479,Loamy,180,3216
2537,2014,Punjab,Wheat,663,Loamy,173,3159
2538,2012,Punjab,Wheat,449,Loamy,125,3873
2539,2005,Punjab,Bajra,468,Loamy,51,2452
2540,2006,Punjab,Bajra,395,Alluvial,81,2042
2541,2015,Punjab,Bajra,455,Loamy,91,2225
2542,2016,Punjab,Wheat,680,Alluvial,152,3370
2543,2016,Punjab,Rice,977,Loamy,169,3139
2544,2010,Punjab,Wheat,566,Loamy,121,3366
2545,2014,Punjab,Bajra,330,Alluvial,59,2213
2546,2000,Punjab,Bajra,438,Loamy,66,2487
2547,2000,Punjab,Wheat,522,Loamy,123,3831
2548,2009,Punjab,Bajra,482,Alluvial,91,1832
2549,2011,Punjab,Wheat,541,Loamy,119,3085
2550,2006,Punjab,Bajra,587,Loamy,81,2306
2551,2005,Punjab,Wheat,657,Loamy,163,3808
2552,2006,Punjab,Rice,890,Loamy,104,3355
2553,2020,Punjab,Wheat,615,Loamy,149,3427
2554,2010,Punjab,Rice,824,Loamy,121,3325
2555,2014,Punjab,Bajra,590,Loamy,89,2578
2556,2008,Punjab,Wheat,650,Loamy,171,3892
2557,2013,Punjab,Bajra,535,Loamy,58,2715
2558,2019,Punjab,Rice,964,Loamy,135,2998
2559,2001,Punjab,Bajra,343,Loamy,64,2814
2560,2017,Punjab,Wheat,665,Loamy,155,3465
2561,2002,Punjab,Wheat,496,Loamy,131,3835
2562,2009,Punjab,Bajra,405,Loamy,71,2926
2563,2014,Punjab,Rice,935,Loamy,180,3298
2564,2002,Punjab,Bajra,334,Alluvial,94,2210
2565,2019,Punjab,Bajra,343,Loamy,79,2500
2566,2015,Punjab,Rice,839,Alluvial,123,2963
2567,2015,Punjab,Rice,941,Loamy,160,3133
2568,2018,Punjab,Rice,987,Loamy,167,3089
2569,2004,Punjab,Bajra,581,Loamy,69,2173
2570,2012,Punjab,Rice,992,Loamy,108,2988
2571,2012,Punjab,Wheat,629,Loamy,144,3571
2572,2009,Punjab,Wheat,604,Alluvial,164,3364
2573,2009,Punjab,Bajra,325,Loamy,94,2181
2574,2001,Punjab,Bajra,342,Alluvial,52,2585
2575,2002,Punjab,Bajra,359,Loamy,61,2650
2576,2012,Punjab,Bajra,548,Loamy,84,2528
2577,2004,Punjab,Wheat,504,Alluvial,145,3196
2578,2008,Punjab,Rice,959,Loamy,128,3012
2579,2010,Punjab,Rice,885,Loamy,126,3142
2580,2015,Punjab,Wheat,425,Loamy,120,3599
2581,2013,Punjab,Bajra,394,Loamy,72,2769
2582,2016,Punjab,Wheat,518,Alluvial,121,3246
2583,2011,Punjab,Bajra,517,Loamy,76,2145
2584,2000,Punjab,Wheat,622,Loamy,130,3697
2585,2018,Punjab,Bajra,477,Alluvial,93,2519
2586,2004,Punjab,Bajra,386,Loamy,78,2935
2587,2004,Punjab,Wheat,552,Loamy,148,3885
2588,2007,Punjab,Wheat,525,Alluvial,120,3149
2589,2018,Punjab,Wheat,428,Loamy,153,3648
2590,2014,Punjab,Rice,962,Loamy,165,3160
2591,2001,Punjab,Wheat,570,Loamy,145,3249
2592,2005,Punjab,Rice,843,Alluvial,144,2819
2593,2018,Punjab,Rice,818,Loamy,149,3460
2594,2014,Punjab,Bajra,354,Loamy,69,2893
2595,2009,Punjab,Wheat,612,Loamy,100,3829
2596,2016,Punjab,Wheat,628,Alluvial,159,2968
2597,2011,Punjab,Bajra,317,Loamy,84,2474
2598,2017,Punjab,Wheat,675,Loamy,167,3422
2599,2009,Punjab,Rice,834,Loamy,147,3048
2600,2019,Punjab,Wheat,587,Loamy,152,3734
2601,2015,Punjab,Rice,855,Loamy,165,2842
2602,2004,Punjab,Rice,806,Loamy,169,3079
2603,2013,Punjab,Bajra,446,Loamy,68,2711
2604,2007,Punjab,Rice,803,Alluvial,130,3187
2605,2005,Punjab,Bajra,394,Loamy,57,2824
2606,2006,Punjab,Bajra,397,Loamy,75,2380
2607,2016,Punjab,Rice,819,Loamy,144,2859
2608,2010,Punjab,Wheat,633,Loamy,110,3726
2609,2006,Punjab,Wheat,538,Loamy,110,3035
2610,2016,Punjab,Rice,999,Loamy,154,2862
2611,2016,Punjab,Rice,912,Loamy,144,2886
2612,2016,Punjab,Rice,918,Loamy,100,3442
2613,2014,Punjab,Bajra,476,Alluvial,57,2543
2614,2018,Punjab,Wheat,480,Loamy,151,3851
2615,2003,Punjab,Rice,953,Alluvial,171,3097
2616,2017,Punjab,Rice,914,Alluvial,117,3162
2617,2020,Punjab,Rice,813,Loamy,128,3488
2618,2010,Punjab,Bajra,349,Loamy,100,2743
2619,2000,Punjab,Rice,970,Loamy,140,3469
2620,2013,Punjab,Wheat,695,Loamy,153,3597
2621,2011,Punjab,Bajra,540,Loamy,93,2361
2622,2015,Punjab,Wheat,448,Loamy,117,3524
2623,2019,Punjab,Rice,930,Loamy,125,2993
2624,2013,Punjab,Wheat,506,Loamy,157,3420
2625,2018,Punjab,Bajra,556,Loamy,88,2170
2626,2009,Punjab,Wheat,423,Loamy,140,3378
2627,2009,Punjab,Bajra,556,Alluvial,74,2197
2628,2018,Punjab,Bajra,599,Alluvial,70,1963
2629,2004,Punjab,Wheat,459,Loamy,116,3777
2630,2015,Punjab,Rice,978,Loamy,121,3095
2631,2000,Punjab,Wheat,464,Alluvial,102,3303
2632,2000,Punjab,Wheat,637,Loamy,152,3747
2633,2020,Punjab,Bajra,378,Loamy,99,2947
2634,2007,Punjab,Wheat,529,Loamy,117,3124
2635,2012,Punjab,Wheat,584,Loamy,136,3366
2636,2000,Punjab,Wheat,654,Loamy,120,3009
2637,2009,Punjab,Rice,848,Alluvial,127,2982
2638,2008,Punjab,Bajra,580,Loamy,70,2140
2639,2009,Punjab,Rice,855,Loamy,112,2834
2640,2018,Punjab,Bajra,452,Loamy,84,2080
2641,2012,Punjab,Rice,886,Loamy,164,2832
2642,2014,Punjab,Bajra,520,Loamy,90,2643
2643,2013,Punjab,Bajra,591,Alluvial,92,2556
2644,2018,Punjab,Bajra,413,Alluvial,53,2602
2645,2003,Punjab,Bajra,328,Loamy,99,2872
2646,2003,Punjab,Bajra,309,Loamy,96,2574
2647,2003,Punjab,Wheat,612,Alluvial,106,2875
2648,2014,Punjab,Bajra,368,Alluvial,86,1832
2649,2006,Punjab,Bajra,346,Alluvial,51,2064
2650,2004,Punjab,Bajra,474,Loamy,78,2855
2651,2000,Punjab,Bajra,476,Loamy,50,2056
2652,2001,Punjab,Wheat,686,Loamy,101,3218
2653,2004,Punjab,Rice,800,Loamy,122,3038
2654,2012,Punjab,Wheat,504,Loamy,110,3611
2655,2009,Punjab,Bajra,432,Loamy,96,2222
2656,2005,Punjab,Rice,941,Loamy,109,2848
2657,2002,Punjab,Rice,827,Loamy,102,3043
2658,2010,Punjab,Bajra,338,Loamy,89,2683
2659,2018,Punjab,Rice,882,Alluvial,169,2747
2660,2005,Punjab,Wheat,606,Alluvial,142,3237
2661,2000,Punjab,Rice,905,Alluvial,104,2927
2662,2001,Punjab,Wheat,622,Alluvial,150,2983
2663,2018,Punjab,Bajra,332,Alluvial,87,2193
2664,2007,Punjab,Rice,910,Loamy,176,2981
2665,2016,Punjab,Rice,817,Loamy,114,3043
2666,2010,Punjab,Wheat,699,Loamy,161,3678
2667,2018,Punjab,Rice,811,Loamy,166,3291
2668,2001,Punjab,Wheat,482,Loamy,139,3186
